genre,platform_family,publisher_tier
Action,Xbox,2
Racing,PlayStation,1
Sports,Nintendo,2
Racing,Nintendo,2
Sports,Nintendo,0
Fighting,Nintendo,2
Sports,PlayStation,2
Sports,PlayStation,1
Shooter,Xbox,2
Sports,PlayStation,0
Simulation,Nintendo,2
Action,PlayStation,1
Misc,Nintendo,2
Misc,Xbox,2
Misc,Xbox,2
Action,PC,2
Strategy,PlayStation,0
Simulation,PlayStation,0
Platform,PlayStation,0
Misc,Nintendo,0
Shooter,PC,0
Adventure,Nintendo,2
Sports,Xbox,2
Shooter,PlayStation,2
Shooter,Xbox,2
Fighting,PlayStation,2
Fighting,PlayStation,2
Shooter,PlayStation,2
Action,Nintendo,2
Sports,PlayStation,0
Action,PlayStation,0
Puzzle,Nintendo,0
Shooter,Xbox,2
Shooter,PlayStation,1
Fighting,PlayStation,1
Action,Other,0
Racing,PlayStation,0
Platform,Nintendo,2
Misc,Nintendo,2
Action,PlayStation,0
Simulation,Nintendo,0
Adventure,PlayStation,0
Sports,PlayStation,2
Role-Playing,PlayStation,0
Role-Playing,Nintendo,0
Sports,Xbox,2
Action-Adventure,Xbox,2
Role-Playing,PlayStation,2
Sports,Xbox,0
Shooter,PlayStation,0
Role-Playing,Nintendo,0
Racing,Xbox,1
Shooter,Nintendo,0
Shooter,Xbox,0
Fighting,Other,2
Role-Playing,PC,2
Action,Nintendo,2
Action,PlayStation,0
Fighting,Xbox,2
Misc,Nintendo,2
Fighting,Nintendo,0
Simulation,Nintendo,1
Visual Novel,Nintendo,1
Adventure,Nintendo,2
Fighting,PlayStation,1
Sports,PlayStation,2
Platform,PlayStation,0
Sports,PlayStation,2
Action,PlayStation,1
Action,Nintendo,1
Adventure,PlayStation,0
Sports,Nintendo,2
Sports,Nintendo,2
Action,Xbox,1
Platform,PlayStation,2
Puzzle,Nintendo,2
Adventure,Nintendo,0
Adventure,Nintendo,0
Shooter,Xbox,2
Sports,PlayStation,2
Strategy,PlayStation,1
Action,Nintendo,2
Adventure,Nintendo,0
Puzzle,Nintendo,1
Action,Nintendo,2
Puzzle,Nintendo,0
Puzzle,Nintendo,0
Action-Adventure,Xbox,0
Sports,PlayStation,2
Racing,Nintendo,2
Racing,PC,0
Shooter,PlayStation,2
Strategy,PC,2
Role-Playing,PlayStation,0
Action,Nintendo,2
Action,PlayStation,2
Misc,Xbox,2
Strategy,Xbox,0
Action,Nintendo,0
Simulation,PlayStation,2
Sports,PlayStation,2
Action,PlayStation,1
Fighting,PC,2
Racing,PlayStation,2
Racing,Nintendo,2
Role-Playing,PlayStation,1
Puzzle,PC,0
Misc,PlayStation,0
Misc,Nintendo,0
Fighting,Nintendo,1
Puzzle,Nintendo,2
Action,Xbox,1
Simulation,PC,2
Strategy,Nintendo,2
Role-Playing,PlayStation,0
Shooter,PlayStation,2
Simulation,Nintendo,1
Adventure,Nintendo,1
Action,Xbox,2
Adventure,Xbox,1
Sports,PlayStation,2
Shooter,PlayStation,2
Puzzle,Nintendo,0
Adventure,Xbox,0
Role-Playing,Xbox,2
Puzzle,Nintendo,0
Sports,Nintendo,0
Role-Playing,Nintendo,2
Fighting,PlayStation,2
Shooter,PC,2
Action,PlayStation,2
Misc,Other,2
Shooter,Xbox,2
Adventure,PlayStation,0
Puzzle,Nintendo,0
Sports,Nintendo,1
Sports,PlayStation,2
Action,Xbox,0
Simulation,PlayStation,0
Fighting,Other,1
Action,PlayStation,1
Sports,PlayStation,2
Platform,Nintendo,0
Racing,Xbox,1
Platform,PlayStation,2
Racing,Nintendo,2
Racing,PlayStation,0
Adventure,Nintendo,0
Role-Playing,Other,2
Adventure,Nintendo,2
Action,PlayStation,1
Sports,PC,0
Shooter,Nintendo,1
Fighting,Nintendo,2
Shooter,PlayStation,2
Adventure,Nintendo,1
Action,Xbox,1
Fighting,Other,0
Fighting,Nintendo,2
Shooter,PC,2
Misc,Xbox,1
Shooter,Xbox,1
Racing,Nintendo,2
Action,Xbox,2
Sports,Nintendo,2
Action,PC,2
Action,Nintendo,1
Shooter,PlayStation,2
Role-Playing,PlayStation,1
Role-Playing,PlayStation,2
Role-Playing,Nintendo,1
Simulation,PC,2
Action-Adventure,Nintendo,0
Shooter,Other,0
Shooter,Xbox,2
Action,PlayStation,0
Action,PlayStation,2
Shooter,PC,2
Racing,Xbox,2
Sports,Xbox,2
Misc,PlayStation,2
Puzzle,PC,0
Action,Nintendo,2
Simulation,PlayStation,1
Action-Adventure,PlayStation,1
Adventure,Nintendo,2
Puzzle,PlayStation,1
Music,Nintendo,0
Racing,Nintendo,0
Sports,PlayStation,2
Role-Playing,PlayStation,0
Strategy,Xbox,2
Platform,Nintendo,2
Shooter,PC,0
Adventure,PlayStation,1
Misc,PC,2
Shooter,PC,2
Action,Xbox,2
Shooter,Xbox,2
Role-Playing,Nintendo,1
Role-Playing,PC,2
Role-Playing,PlayStation,0
Action,PC,2
Action,PlayStation,0
Adventure,PlayStation,2
Racing,PlayStation,2
Simulation,Nintendo,2
Action,PlayStation,2
Simulation,Xbox,0
Action,PlayStation,2
Fighting,PlayStation,0
Platform,Nintendo,2
Role-Playing,Nintendo,2
Adventure,Nintendo,0
Sports,Nintendo,2
Misc,Nintendo,2
Sports,PC,2
Simulation,Nintendo,2
Racing,Xbox,2
Adventure,Other,2
Shooter,PlayStation,0
Misc,Nintendo,2
Adventure,PlayStation,0
Misc,PlayStation,2
Shooter,Nintendo,0
Sports,Nintendo,2
Strategy,PC,2
Sports,Nintendo,2
Misc,PlayStation,0
Sports,Nintendo,2
Action,PlayStation,1
Platform,PlayStation,2
Action-Adventure,Xbox,0
Action,PC,1
Role-Playing,PlayStation,0
Fighting,PlayStation,0
Strategy,Xbox,2
Puzzle,PC,0
Sports,Nintendo,2
Platform,PlayStation,2
Platform,PC,2
Sports,Nintendo,2
Racing,Xbox,2
Adventure,PlayStation,0
Fighting,PlayStation,0
Action,PlayStation,1
Fighting,Other,2
Platform,PlayStation,2
Puzzle,Nintendo,0
Action,Nintendo,0
Role-Playing,Nintendo,1
Adventure,Nintendo,1
Role-Playing,PlayStation,0
Sports,Nintendo,2
Sports,Nintendo,2
Role-Playing,PlayStation,0
Sports,PlayStation,0
Platform,Nintendo,2
Role-Playing,PlayStation,0
Shooter,Xbox,0
Shooter,PC,2
Action,Nintendo,2
Racing,Nintendo,2
Misc,Xbox,1
Action,Nintendo,2
Role-Playing,PlayStation,2
Action,PlayStation,2
Role-Playing,Xbox,1
Action,Nintendo,0
Adventure,Nintendo,2
Strategy,Nintendo,0
Action,Nintendo,2
Sports,PlayStation,2
Action,PlayStation,0
Adventure,Xbox,2
Action,Xbox,2
Sports,PlayStation,2
Strategy,PlayStation,2
Shooter,Xbox,2
Racing,PlayStation,2
Platform,Nintendo,0
Sports,Nintendo,2
Fighting,Other,0
Music,PlayStation,1
Racing,PC,2
Racing,Nintendo,0
Racing,Nintendo,2
Simulation,PC,2
Misc,Other,2
Platform,Nintendo,2
Simulation,PlayStation,2
Fighting,Nintendo,1
Simulation,Nintendo,2
Racing,PlayStation,2
Adventure,PlayStation,2
Shooter,PC,2
Adventure,Nintendo,0
Simulation,Nintendo,2
Puzzle,Nintendo,2
Misc,Nintendo,2
Strategy,Xbox,0
Sports,Nintendo,2
Action,PlayStation,0
Misc,PlayStation,0
Strategy,PC,0
Simulation,PlayStation,0
Racing,Nintendo,2
Strategy,PlayStation,1
Misc,Nintendo,0
Visual Novel,PlayStation,0
Action,Nintendo,2
Action,Other,2
Racing,PlayStation,1
Sports,PlayStation,0
Racing,Xbox,2
Sports,PC,2
Role-Playing,PlayStation,0
Adventure,Xbox,2
Sports,Other,2
Action,PlayStation,0
Action,Nintendo,2
Platform,Nintendo,2
Platform,Nintendo,2
Adventure,Nintendo,1
Action,Xbox,1
Visual Novel,PlayStation,0
Simulation,Nintendo,2
Misc,Nintendo,0
Action,PlayStation,2
Strategy,PlayStation,1
Misc,Nintendo,2
Strategy,PC,0
Adventure,PlayStation,0
Sports,PlayStation,2
Adventure,PC,2
Fighting,PlayStation,1
Shooter,Other,2
Sports,Xbox,2
Shooter,Nintendo,0
Action-Adventure,PlayStation,2
Shooter,PlayStation,2
Platform,Xbox,2
Racing,Xbox,2
Adventure,Xbox,0
Shooter,PC,2
Shooter,PlayStation,2
Role-Playing,PlayStation,2
Racing,PC,2
Simulation,PlayStation,0
Action,Xbox,2
Sports,Nintendo,1
Action,PlayStation,0
Sports,Nintendo,2
Sports,Nintendo,2
Shooter,Nintendo,2
Misc,Xbox,2
Puzzle,Nintendo,0
Role-Playing,Nintendo,0
Sports,PlayStation,2
Racing,PC,2
Puzzle,Nintendo,0
Misc,Nintendo,2
Action,Nintendo,2
Adventure,Nintendo,2
Strategy,PC,2
Adventure,Nintendo,0
Sports,Nintendo,2
Puzzle,Nintendo,1
Adventure,Nintendo,0
Racing,Xbox,2
Adventure,PC,0
Sports,PlayStation,2
Misc,Nintendo,1
Misc,Xbox,2
Simulation,PC,2
Action,Xbox,1
Sports,PlayStation,2
Role-Playing,PlayStation,2
Action,PlayStation,0
Puzzle,Nintendo,1
Sports,PlayStation,1
Fighting,PlayStation,2
Sports,PlayStation,2
Sports,Nintendo,0
Adventure,Nintendo,1
Action,Xbox,2
Role-Playing,PlayStation,0
Role-Playing,Xbox,0
Sports,Xbox,2
Action,Nintendo,1
Action,Nintendo,2
Music,PlayStation,0
Sports,PlayStation,0
Strategy,Xbox,0
Action,PC,0
Simulation,PC,0
Adventure,PC,0
Strategy,Nintendo,2
Sports,PlayStation,0
Shooter,PlayStation,2
Shooter,PlayStation,2
Action-Adventure,Xbox,2
Adventure,Nintendo,2
Platform,Nintendo,2
Fighting,PlayStation,0
Shooter,Xbox,1
Adventure,Nintendo,1
Misc,Nintendo,2
Puzzle,Nintendo,2
Simulation,PC,0
Sports,PlayStation,2
Misc,Nintendo,1
Sports,PC,2
Puzzle,PlayStation,0
Strategy,Xbox,2
Platform,Nintendo,2
Action,PlayStation,1
Shooter,Nintendo,1
Action,PC,1
Sports,Xbox,2
Action,PC,2
Adventure,Nintendo,2
Sports,PlayStation,2
Platform,PlayStation,2
Action-Adventure,PC,2
Fighting,Xbox,0
Sports,PlayStation,2
Sports,PlayStation,2
Adventure,Nintendo,2
Strategy,Nintendo,1
Racing,PC,2
Racing,PlayStation,0
Adventure,PlayStation,0
Fighting,PlayStation,0
Misc,Nintendo,2
Action-Adventure,Xbox,2
Misc,Xbox,2
Misc,Nintendo,2
Adventure,Nintendo,2
Sports,Nintendo,2
Fighting,Xbox,1
Misc,Nintendo,1
Action,PlayStation,2
Simulation,Xbox,0
Role-Playing,PC,2
Action,PlayStation,0
Action,Other,2
Sports,Xbox,2
Misc,Xbox,2
Action,Nintendo,2
Fighting,PlayStation,2
Platform,PlayStation,2
Action,PlayStation,2
Sports,PlayStation,2
Sports,Nintendo,2
Racing,Nintendo,1
Sports,PlayStation,1
Misc,Xbox,0
Sports,PlayStation,2
Shooter,Nintendo,2
Role-Playing,PlayStation,1
Adventure,PlayStation,0
Platform,Xbox,2
Sports,PlayStation,2
Action,Xbox,2
Misc,PlayStation,2
Adventure,Nintendo,2
Sports,PlayStation,2
Sports,PlayStation,1
Shooter,Xbox,0
Fighting,PlayStation,1
Fighting,PlayStation,2
Music,PlayStation,2
Sports,PlayStation,2
Fighting,Nintendo,1
Sports,PlayStation,2
Fighting,Xbox,1
Shooter,Xbox,1
Puzzle,Nintendo,2
Action,PlayStation,2
Fighting,PlayStation,2
Action,Xbox,2
Simulation,Nintendo,0
Fighting,Nintendo,1
Platform,Nintendo,0
Misc,Xbox,0
Strategy,Nintendo,2
Adventure,PlayStation,0
Racing,PC,2
Adventure,Xbox,2
Fighting,PlayStation,2
Misc,Nintendo,1
Puzzle,Nintendo,0
Sports,PlayStation,1
Adventure,PlayStation,0
Role-Playing,PlayStation,0
Racing,PlayStation,0
Action,Nintendo,1
Adventure,PlayStation,0
Role-Playing,Nintendo,2
Misc,Nintendo,2
Action,PC,2
Adventure,Nintendo,2
Simulation,PC,2
Adventure,PlayStation,0
Simulation,PlayStation,2
Adventure,Nintendo,0
Action,PlayStation,1
Racing,Xbox,0
Strategy,PlayStation,2
Shooter,Nintendo,1
Action,Nintendo,2
Strategy,PlayStation,1
Action-Adventure,PC,2
Sports,PlayStation,0
Simulation,PC,2
Sports,PlayStation,2
Music,Xbox,2
Action,Xbox,2
Sports,PlayStation,2
Misc,PlayStation,2
Puzzle,PlayStation,2
Role-Playing,Nintendo,2
Fighting,Xbox,0
Platform,Xbox,0
Strategy,Nintendo,2
Sports,PlayStation,1
Puzzle,Nintendo,0
Adventure,PlayStation,2
Action,Xbox,2
Role-Playing,PlayStation,0
Adventure,PlayStation,0
Simulation,Nintendo,2
Platform,PlayStation,2
Misc,Nintendo,1
Role-Playing,Nintendo,2
Action,Nintendo,2
Visual Novel,PlayStation,0
Sports,PlayStation,2
Action,Nintendo,1
Shooter,PlayStation,0
Action,PlayStation,2
Simulation,PlayStation,2
Role-Playing,Nintendo,2
Misc,Nintendo,2
Sports,Nintendo,2
Fighting,Nintendo,2
Sports,PlayStation,1
Racing,PlayStation,2
Misc,Nintendo,1
Shooter,PC,2
Misc,PlayStation,1
Adventure,Nintendo,2
Action,PlayStation,2
Action-Adventure,Nintendo,1
Fighting,Nintendo,0
Music,Nintendo,0
Action,PlayStation,0
Action,Nintendo,1
Misc,PlayStation,2
Sports,Nintendo,1
Simulation,Nintendo,2
Music,PlayStation,2
Platform,PlayStation,2
Shooter,Xbox,1
Action-Adventure,PlayStation,1
Platform,Other,2
Simulation,PlayStation,1
Adventure,Nintendo,0
Strategy,PC,0
Sports,Nintendo,0
Racing,PlayStation,2
Action,Xbox,2
Action-Adventure,Nintendo,1
Action,PlayStation,1
Platform,PlayStation,2
Sports,Nintendo,1
Platform,PC,0
Action,PlayStation,2
Role-Playing,PC,0
Platform,PlayStation,0
Racing,PlayStation,2
Sports,Nintendo,2
Action,Nintendo,1
Fighting,Xbox,2
Adventure,PlayStation,0
Fighting,PlayStation,2
Visual Novel,PlayStation,0
Simulation,PlayStation,2
Shooter,PlayStation,2
Sports,Nintendo,1
Action,Xbox,0
Role-Playing,Nintendo,2
Racing,Xbox,2
Shooter,PlayStation,2
Strategy,PlayStation,2
Action-Adventure,Xbox,0
Adventure,PC,0
Strategy,Nintendo,0
Sports,PlayStation,2
Fighting,PlayStation,1
Platform,PlayStation,2
Misc,PlayStation,0
Action,PlayStation,2
Action,PlayStation,0
Role-Playing,PlayStation,1
Shooter,PlayStation,0
Misc,Nintendo,0
Racing,Xbox,2
Role-Playing,PlayStation,1
Platform,PlayStation,2
Racing,Xbox,2
Sports,Nintendo,0
Action,PlayStation,1
Simulation,PlayStation,0
Misc,PlayStation,1
Adventure,PlayStation,2
Action-Adventure,Nintendo,0
Adventure,Nintendo,2
Visual Novel,PlayStation,0
Simulation,PlayStation,0
Strategy,Nintendo,1
Simulation,PlayStation,2
Sports,Nintendo,1
Action,Xbox,0
Adventure,Nintendo,2
Adventure,PlayStation,2
Misc,Nintendo,2
Adventure,Nintendo,1
Adventure,Nintendo,0
Action,Nintendo,2
Role-Playing,PlayStation,2
Misc,PlayStation,0
Adventure,Nintendo,0
Puzzle,Nintendo,0
Puzzle,Nintendo,2
Adventure,PlayStation,0
Adventure,PC,0
Shooter,Xbox,2
Adventure,PlayStation,1
Fighting,Nintendo,2
Action-Adventure,PlayStation,1
Sports,PlayStation,2
Misc,PlayStation,2
Sports,Xbox,2
Action,Nintendo,0
Action,PlayStation,0
Misc,PlayStation,2
Action,PlayStation,2
Misc,Nintendo,2
Adventure,Nintendo,2
Role-Playing,Nintendo,2
Action,Xbox,2
Action,PlayStation,0
Sports,Xbox,2
Sports,Xbox,2
Adventure,Nintendo,2
Sports,PlayStation,2
Music,Xbox,2
Action,Nintendo,2
Misc,PlayStation,2
Adventure,PlayStation,2
Misc,PlayStation,1
Action,Nintendo,1
Action,PlayStation,2
Adventure,Xbox,2
Shooter,Xbox,0
Action,Nintendo,0
Platform,PC,2
Sports,Other,2
Action,Nintendo,1
Puzzle,Nintendo,0
Action,PlayStation,2
Misc,Nintendo,2
Misc,PlayStation,2
Strategy,PlayStation,1
Platform,Nintendo,2
Puzzle,Xbox,2
Platform,Nintendo,2
Puzzle,PlayStation,2
Role-Playing,Nintendo,1
Adventure,Xbox,2
Misc,PlayStation,0
Role-Playing,Nintendo,2
Platform,Xbox,2
Action-Adventure,PlayStation,0
Adventure,PlayStation,0
Sports,Nintendo,2
Misc,Nintendo,2
Simulation,PlayStation,1
Misc,PlayStation,2
Misc,Nintendo,0
Action,PlayStation,0
Misc,Nintendo,0
Sports,PlayStation,0
Action,PC,0
Adventure,PlayStation,2
Simulation,Nintendo,2
Adventure,PC,1
Misc,Xbox,2
Sports,PlayStation,1
Action,Xbox,1
Adventure,Nintendo,2
Sports,PlayStation,2
Shooter,PC,2
Adventure,PlayStation,0
Role-Playing,PlayStation,0
Simulation,Nintendo,2
Misc,PlayStation,0
Adventure,PlayStation,1
Action,PlayStation,2
Sports,PlayStation,2
Shooter,PC,0
Platform,Nintendo,2
Fighting,PlayStation,1
Puzzle,Nintendo,1
Role-Playing,Nintendo,0
Action,Nintendo,2
Adventure,PlayStation,2
Misc,PlayStation,2
Misc,Nintendo,2
Racing,PlayStation,1
Puzzle,PC,0
Puzzle,Nintendo,2
Sports,Xbox,2
Role-Playing,Nintendo,0
Action,Nintendo,2
Sports,PlayStation,2
Action,Nintendo,2
Sports,PlayStation,2
Action,Xbox,0
Adventure,Nintendo,0
Action,PlayStation,1
Misc,Nintendo,2
Role-Playing,PlayStation,0
Action,Nintendo,2
Platform,Nintendo,2
Simulation,PlayStation,0
Racing,PlayStation,2
Misc,Nintendo,1
Sports,Xbox,1
Misc,Xbox,2
Misc,Nintendo,2
Simulation,Nintendo,0
Shooter,Nintendo,1
Adventure,Nintendo,2
Role-Playing,PlayStation,0
Adventure,Nintendo,0
Racing,Other,2
Puzzle,Nintendo,2
Sports,Xbox,2
Action,PlayStation,2
Strategy,PlayStation,0
Action,Xbox,2
Action,Nintendo,2
Simulation,PC,2
Misc,PlayStation,0
Racing,PlayStation,2
Action,PlayStation,0
Action,Nintendo,1
Action,PlayStation,2
Role-Playing,PlayStation,0
Action,Xbox,2
Action,Xbox,0
Action,PlayStation,0
Action,Xbox,0
Sports,Nintendo,2
Strategy,PlayStation,0
Puzzle,PC,0
Adventure,PlayStation,0
Action,PlayStation,2
Action,Xbox,2
Shooter,Xbox,0
Strategy,PC,0
Shooter,PlayStation,2
Strategy,Xbox,0
Misc,PlayStation,0
Action,Nintendo,2
Action,Nintendo,0
Misc,Nintendo,0
Action,PlayStation,0
Adventure,Nintendo,0
Racing,Xbox,2
Shooter,PlayStation,1
Adventure,PlayStation,0
Sports,Xbox,2
Action,PlayStation,2
Racing,Xbox,2
Platform,Nintendo,2
Strategy,PlayStation,0
Fighting,Nintendo,1
Action,Xbox,0
Platform,PlayStation,2
Shooter,PC,2
Adventure,PlayStation,0
Misc,PlayStation,2
Racing,Xbox,0
Puzzle,Nintendo,2
Role-Playing,PlayStation,0
Role-Playing,PlayStation,0
Racing,PlayStation,1
Shooter,Xbox,2
Platform,Nintendo,1
Puzzle,PlayStation,2
Racing,PlayStation,0
Simulation,Nintendo,0
Role-Playing,PlayStation,0
Misc,Nintendo,0
Shooter,PlayStation,0
Racing,Xbox,2
Shooter,Xbox,0
Action,Nintendo,1
Action,PlayStation,2
Misc,PlayStation,2
Sports,PlayStation,2
Visual Novel,PlayStation,0
Shooter,PlayStation,0
Simulation,PC,1
Misc,Nintendo,2
Adventure,PlayStation,1
Action,PlayStation,2
Adventure,PlayStation,0
Puzzle,Nintendo,2
Racing,PlayStation,2
Fighting,Nintendo,2
Fighting,PlayStation,2
Simulation,Nintendo,2
Role-Playing,PlayStation,2
Shooter,Nintendo,1
Adventure,PlayStation,1
Misc,Nintendo,2
Puzzle,Nintendo,2
Platform,Nintendo,2
Platform,Nintendo,2
Fighting,Xbox,2
Music,PlayStation,1
Adventure,PlayStation,2
Strategy,PC,0
Shooter,Nintendo,0
Sports,Nintendo,2
Racing,PlayStation,2
Racing,PlayStation,2
Action,PlayStation,0
Misc,PlayStation,0
Racing,Nintendo,2
Fighting,PlayStation,0
Adventure,Nintendo,1
Strategy,PlayStation,2
Action,PlayStation,2
Racing,Xbox,2
Misc,Nintendo,1
Action,Nintendo,2
Role-Playing,PlayStation,2
Action,Xbox,2
Role-Playing,PlayStation,0
Racing,Nintendo,2
Shooter,PC,2
Shooter,PlayStation,2
Role-Playing,PlayStation,2
Platform,Nintendo,2
Sports,PlayStation,2
Action,Nintendo,1
Racing,PlayStation,2
Strategy,PlayStation,1
Platform,Nintendo,2
Sports,PlayStation,2
Puzzle,PlayStation,2
Racing,Xbox,0
Racing,PlayStation,2
Sports,Nintendo,1
Misc,PlayStation,0
Role-Playing,PC,2
Platform,Nintendo,1
Sports,Nintendo,2
Misc,PlayStation,2
Action,Nintendo,2
Sports,Xbox,2
Fighting,PlayStation,2
Adventure,PC,0
Simulation,Nintendo,2
Adventure,PlayStation,0
Shooter,Xbox,2
Sports,PlayStation,2
Platform,Nintendo,2
Sports,PlayStation,2
Sports,PlayStation,2
Misc,PlayStation,0
Racing,Nintendo,0
Adventure,PlayStation,0
Strategy,PlayStation,1
Misc,Nintendo,0
Shooter,Nintendo,0
Shooter,Xbox,1
Racing,Xbox,0
Action,Nintendo,0
Sports,Nintendo,2
Role-Playing,PlayStation,2
Puzzle,PC,0
Strategy,PlayStation,0
Role-Playing,Nintendo,2
Puzzle,Nintendo,0
Action-Adventure,Nintendo,2
Role-Playing,PlayStation,0
Adventure,PC,0
Shooter,PlayStation,0
Shooter,PC,2
Misc,PlayStation,2
Sports,PlayStation,2
Action,Nintendo,0
Puzzle,Nintendo,2
Puzzle,Other,2
Misc,Nintendo,2
Racing,Xbox,2
Misc,Nintendo,0
Fighting,Xbox,2
Sports,Nintendo,2
Shooter,PlayStation,1
Shooter,PlayStation,0
Shooter,Xbox,0
Misc,Nintendo,2
Sports,PlayStation,1
Fighting,Nintendo,2
Visual Novel,PlayStation,0
Adventure,Other,0
Misc,Nintendo,1
Fighting,Nintendo,2
Sports,PlayStation,2
Role-Playing,PlayStation,2
Strategy,Nintendo,2
Action-Adventure,PlayStation,2
Misc,Xbox,2
Strategy,Xbox,2
Role-Playing,Nintendo,0
Strategy,PlayStation,0
Sports,Xbox,0
Sports,PlayStation,2
Misc,Nintendo,1
Action,PC,2
Strategy,Nintendo,2
Sports,Nintendo,0
Sports,PlayStation,2
Misc,PlayStation,0
Sports,PlayStation,2
Action,Nintendo,1
Action,PlayStation,1
Racing,PlayStation,0
Platform,PlayStation,2
Misc,Xbox,2
Strategy,PlayStation,0
Sports,Nintendo,2
Role-Playing,Nintendo,0
Adventure,PlayStation,0
Action,Nintendo,0
Action,Xbox,2
Adventure,Nintendo,0
Adventure,PlayStation,0
Adventure,PlayStation,2
Racing,PlayStation,1
Puzzle,Nintendo,2
Role-Playing,PlayStation,1
Sports,Nintendo,2
Sports,Nintendo,0
Action,Xbox,0
Platform,Nintendo,2
Racing,Nintendo,2
Fighting,Xbox,2
Misc,Nintendo,2
Sports,Xbox,2
Sports,Nintendo,2
Action,Xbox,2
Strategy,PC,0
Action,Xbox,1
Racing,Nintendo,2
Shooter,Xbox,1
Adventure,PC,0
Racing,PlayStation,2
Sports,Xbox,2
Sports,Nintendo,2
Action,PlayStation,2
Platform,PlayStation,2
Misc,PlayStation,1
Sports,PlayStation,2
Visual Novel,PlayStation,0
Music,Xbox,2
Racing,Nintendo,1
Simulation,Nintendo,2
Misc,Xbox,2
Action,Xbox,2
Role-Playing,Xbox,0
Misc,PlayStation,0
Fighting,Other,2
Shooter,Xbox,0
Action,PlayStation,2
Adventure,PlayStation,1
Action,Xbox,2
Misc,Nintendo,0
Simulation,Nintendo,2
Fighting,Xbox,2
Visual Novel,Xbox,1
Sports,PlayStation,2
Adventure,PlayStation,0
Role-Playing,Nintendo,1
Sports,Xbox,2
Action,Nintendo,0
Fighting,PC,2
Platform,Nintendo,0
Adventure,PlayStation,0
Racing,PlayStation,2
Misc,PlayStation,1
Sports,Nintendo,2
Strategy,Xbox,2
Strategy,PC,0
Platform,PlayStation,0
Strategy,PC,0
Action,Other,0
Sports,Nintendo,2
Action,PlayStation,2
Misc,Nintendo,1
Racing,Xbox,2
Role-Playing,PlayStation,0
Sports,Xbox,2
Racing,Nintendo,1
Puzzle,Nintendo,2
Sports,PlayStation,2
Action,PC,0
Sports,Nintendo,1
Shooter,Xbox,2
Sports,PlayStation,2
Racing,Nintendo,2
Action,PlayStation,2
Simulation,Nintendo,2
Misc,PlayStation,2
Simulation,PlayStation,0
Simulation,PC,1
Simulation,PC,0
Action-Adventure,Nintendo,0
Misc,Nintendo,0
Role-Playing,Nintendo,2
Shooter,Xbox,0
Sports,Nintendo,2
Racing,Xbox,0
Action,PlayStation,0
Role-Playing,Nintendo,1
Misc,Xbox,1
Sports,PlayStation,1
Role-Playing,Nintendo,2
Shooter,PlayStation,1
Misc,PlayStation,1
Adventure,PlayStation,0
Racing,PlayStation,2
Puzzle,Nintendo,0
Platform,PlayStation,1
Action,PlayStation,1
Shooter,PlayStation,1
Sports,PlayStation,2
Fighting,Nintendo,1
Simulation,PlayStation,2
Adventure,PlayStation,0
Adventure,PlayStation,0
Puzzle,Nintendo,2
Misc,PlayStation,0
Role-Playing,PlayStation,1
Adventure,Other,2
Role-Playing,Nintendo,0
Simulation,PlayStation,2
Strategy,PlayStation,0
Strategy,PlayStation,0
Simulation,Nintendo,2
Action,PlayStation,2
Fighting,PlayStation,2
Puzzle,Nintendo,2
Misc,Nintendo,1
Platform,PlayStation,2
Shooter,PC,2
Shooter,Nintendo,1
Role-Playing,PlayStation,0
Strategy,PC,0
Racing,PlayStation,2
Role-Playing,Nintendo,1
Simulation,PlayStation,2
Misc,Nintendo,2
Sports,PlayStation,0
Role-Playing,Nintendo,2
Action,PlayStation,1
Strategy,PC,0
Adventure,Nintendo,1
Role-Playing,Xbox,1
Strategy,PC,0
Sports,Nintendo,0
Sports,Nintendo,2
Shooter,PlayStation,2
Sports,Nintendo,1
Simulation,PC,2
Adventure,Nintendo,0
Adventure,Nintendo,0
Adventure,PlayStation,0
Racing,Nintendo,0
Misc,PC,1
Action,Nintendo,2
Misc,PlayStation,1
Action,Xbox,2
Misc,Nintendo,1
Shooter,Xbox,2
Adventure,PlayStation,0
Action,PlayStation,2
Sports,PlayStation,2
Shooter,Xbox,0
Platform,PlayStation,2
Sports,Xbox,2
Adventure,PC,2
Action,PlayStation,2
Action,PlayStation,2
Misc,Xbox,2
Misc,Nintendo,2
Platform,Nintendo,2
Strategy,PlayStation,1
Fighting,Other,2
Adventure,Xbox,2
Shooter,PC,2
Fighting,PlayStation,2
Simulation,PlayStation,0
Simulation,Nintendo,0
Racing,Xbox,0
Role-Playing,Xbox,0
Strategy,PC,0
Racing,Nintendo,2
Fighting,PlayStation,0
Action,Nintendo,1
Platform,Nintendo,2
Platform,Xbox,2
Simulation,Nintendo,0
Adventure,Nintendo,1
Shooter,Xbox,2
Adventure,PlayStation,0
Adventure,PlayStation,1
Misc,Nintendo,0
Action,PlayStation,2
Role-Playing,PlayStation,2
Adventure,Nintendo,1
Simulation,Xbox,2
Misc,Nintendo,1
Misc,PlayStation,2
Simulation,PC,2
Adventure,Nintendo,2
Adventure,PlayStation,0
Misc,PlayStation,0
Sports,Xbox,2
Adventure,Xbox,0
Sports,PC,2
Platform,Nintendo,2
Action,Nintendo,1
Sports,Xbox,2
Fighting,PlayStation,0
Racing,Nintendo,2
Racing,PlayStation,1
Simulation,PC,0
